uid,pid,tstamp,lmuser_id,crdate,cruser_id,deleted,hidden,category_id,"name_de","name_en","desc_de","desc_en",is_mandatory,order_number
1,754,1353072831,103,1345708532,103,0,0,2,"Sind die Informationsseiten klar und deutlich strukturiert, um die Anwender bei der Orientierung zu unterstützen?","Is the information section well-structured assisting the user in his orientation?","Es wird bspw. mit Überschriften unterschiedlichen Grades, Listen, etc. gearbeitet. Bei längeren Texten bieten sich Textmarken (\"Anker\") an, um die Navigation innerhalb der Dokumente zu vereinfachen.","For instance are there headings as well as bullet lists, numerations, etc. With regard to longer texts, are there anchors to simplify navigation within the documents?",1,1
2,754,1353073026,103,1345708532,103,0,0,2,"Beschränken sich die Informationstexte auf das Wesentliche und wird für diese eine leicht verständliche Sprache sowie ein einfacher Satzbau verwendet?","Does the information provided confine itself to the essentials and are the documents easy to follow (e.g. a simple writing style should be used)?","Überflüssige Informationen und Fachwörter werden vermieden.","Unnecessary information and technical terms are avoided.",1,2
3,754,1353073055,103,1345708532,103,0,0,2,"Sind die Inhalte in allen für das jeweilige Zielpublikum relevanten Sprachen vorhanden?","Is the content available in all languages that are relevant for the target audiences?","","",1,3
4,754,1353073266,103,1345708532,103,0,0,2,"Sind alle angebotenen Informationstexte entsprechend für das Lesen am Bildschirm aufbereitet?","Have all texts on display been adjusted to screen delivery?","Es sollte bspw. bei längeren Texten mit Absätzen oder Einrückungen gearbeitet werden, um die Lesbarkeit zu erleichtern.","For instance, paragraphs and indentations make longer texts more readable.",1,4
5,754,1354649474,103,1345708532,103,0,0,3,"Ist deutlich erkennbar, wer bzw. welche Institution für den Webauftritt verantwortlich ist?","Is it clearly stated who or which institution is responsible for the online appearance?","Über das verwendete Logo und/oder ein Impressum sollte dies unmittelbar ersichtlich sein.","This should be obvious from a logo and/or a legal notice.",1,1
6,754,1353073546,103,1345708532,103,0,0,3,"Ist klar ersichtlich, unter welchen Bedingungen die Ressourcen der Bibliothek nutzbar sind (z.B. nur für Studenten oder die gesamte Bevölkerung) und welche Gebühren (z.B. Mitgliedsbeiträge) gegebenenfalls anfallen?","Is information concercing access conditions clearly displayed (e.g. for students and for the general public? The same goes for charges (e.g. membership).","","",1,2
7,754,1353073636,103,1345708532,103,0,0,4,"Sind direkte Kontaktmöglichkeiten (z.B. per Email oder Telefon) angegeben?","Is contact information (e.g. by email or phone) provided?","Mind. eine Email-Adresse oder Telefonnummer müssen angegeben sein. ","At least an email-adress or a phone-number would be useful.",1,1
8,754,1353073704,103,1345708532,103,0,0,4,"Ist die (Post)adresse angegeben?","Is the postal adress provided?","Name, Strasse, Hausnummer, (Postfach), PLZ und Stadt müssen angegeben sein, um die Bibliothek physisch und postal erreichen zu können","Name, street, house number, (PO Box), Postal code and city should be specified in order to be able to visit the library or to contact it in writing.",1,2
9,754,1353073754,103,1345708532,103,0,0,4,"Sind die Öffnungs- und Ausleihzeiten der Bibliothek angegeben?","Have opening hours been provided?","","",1,3
10,754,1353074451,103,1345708532,103,0,0,4,"Ist angegeben, ob es einen Informationsschalter gibt, und zu welchen Zeiten dieser bedient wird?","Does the library have an information desk; if so, what are its opening hours?","","",1,6
11,754,1353074681,103,1345708532,103,0,0,4,"Sofern ausserhalb der Öffnungszeiten eine Selbstausleihe möglich ist, ist ersichtlich, dass dieser Dienst zur Verfügung steht, wie er funktioniert und steht eine Anleitung zur Verfügung?","Is there a self-service terminal? Is there information about self-service in general and how it works?","","",1,7
12,754,1353074016,103,1345708532,103,0,0,4,"Sind die Kontaktinformationen in allen notwendigen Sprachen verfügbar?","Is all contact information provided in the languages required?","Alle Kontaktinformationen sollten mindestens in der/ den Landessprachen sowie (bei internationalem Zielpublikum) auch in Englisch angegeben werden","Information should be given in the national language and English , if international users can be expected (library of an university, digital library)",1,4
13,754,1353074370,103,1345708532,103,0,0,4,"Wird, sofern mehrere Ansprechpartner benannt sind,  deutlich aufgeführt, für welche Belange welcher Ansprechpartner zuständig ist und gibt es eine allgemeine Adresse, an die man sich bei Unklarheiten wenden kann?","In case that there is more than one contact person, is there a general contact for topcis other than more specified?","Grundsätzlich sollte eine allgemeine Kontaktadresse angeführt werden, an die sich der Anwender mit allen Belangen wenden kann. Zusätzlich wäre bei technischen Problemen z.B. die Email-Adresse des Webmasters hilfreich.","A general contact address should be provided for all inquiries. For technical problems there should also be contact details (e.g. to the webmaster).",1,5
14,754,1353074849,103,1345708532,103,0,0,5,"Ist das Formular übersichtlich gestaltet und sind alle  Felder vorhanden, die zur Kontaktaufnahme notwendig sind?","Is the form clearly designed? Does it include all fields that are necessary in order to contact the library?","Im Minimum sollte ein Webformular zur Kontaktaufnahme eine Betreffzeile, ein Freitextfeld zur Schilderung der Anfrage sowie ein Eingabefeld für die Hinterlegung der eigenen Email-Adresse (für Rückmeldungen) sowie einen Button zum Absenden der Daten umfassen.","At a minimum, a contact form should include the following: subject line, text area field to describe the problem, a field to leave a contact adress and a button to submit the query.",1,1
15,754,1353074928,103,1345708532,103,0,0,5,"Sind alle Formularfelder korrekt beschriftet?","Are all fields of the form correctly labeled?","Jedes Feld ist mit einem aussagekräftigen Label versehen.","Each field comes with a description/descriptive label.",1,2
16,754,1353075047,103,1345708532,103,0,0,5,"Steht in allen Formularfeldern ausreichend Platz zur Eingabe zur Verfügung?","Does every field of the contact form provide sufficient space for the relevant information?","Zur Eingabe der Email-Adresse sollten mind. 40 Zeichen ohne Scrollen sichtbar sein, für den Betreff mind. 40 und für den Text mindestens 250 Zeichen.","The minimum width of the fields should be as follows: email address - 40 characters, subject line - 40 characters, problem - 250 characters.",1,3
17,754,1353075280,103,1345708532,103,0,0,5,"Sofern Eingaben in bestimmten Formaten notwendig sind, bekommt der Anwender eine Rückmeldung, wie die Eingabe zu tätigen ist?","If some fields require a specific input format, is the user automatically instructed on how data needs to be entered?","Der Anmelder erhält direkte Rückmeldung, wie er seine Eingabe tätigen muss bzw. korrigieren kann (z.B. Datum im Format TT/MM/JJJJ). Hierbei bleiben korrekte Eingaben erhalten, zu korrigierende werden ggf. für eine Korrektur hervorgehoben.","The user automatically receives instructions on how information needs to be entered (e.g. dd/mm/yyyy). Correctly entered data remains in the input form, incorrectly entered data is highlighted.",1,4
18,754,1353075443,103,1345708532,103,0,0,5,"Sind Felder, die zwingend ausgefüllt werden müssen, entsprechend gekennzeichnet?","Are mandatory fields clearly marked as such?","Pflichtfelder sind entweder farblich hervorgehoben, mit einem Stern gekennzeichnet oder anderweitig markiert, so dass sie auf den ersten Blick zu erkennen sind.","Mandatory fields should be marked accordingyl (color, asterisk, etc.).",1,5
19,754,1353313711,103,1345708532,103,0,0,5,"Enthält das Formular ausschliesslich solche Felder, die für die Beantwortung einer Anfrage notwendig sind?","Does the contact form use only fields that are essential for resolving the query?","Der Anwender sollte keine überflüssigen Angaben machen müssen, wie z.B. die Angabe seines Geburtsdatums wenn er eine Frage bezüglich den Öffnungszeiten stellen möchte.","The user should not be asked for inessential information. E.g. when inquiring about opening hours users should not be prompted to supply e.g. a birth date.",1,6
20,754,1353313972,103,1345708532,103,0,0,5,"Wird nach dem Absenden des Formulars eine Rückmeldung gegeben?","After submitting the form does the user receive a confirmation that the form has been successful submitted?","Der erfolgreiche Versand der Daten wird per E-Mail oder durch einen kurzen Text auf der Webseite bestätigt.","The data submission is confirmed by an e-mail or a short text on the website.",1,7
