id,"bezeichnung","zeit","budget","relevanz"
1,"Cognitive Walkthrough","hoch","hoch","4"
2,"Pluralistic Usability Walkthrough","hoch","hoch","2"
3,"Collaborative Usability Inspection","hoch","hoch","3"
4,"Heuristische Evaluation","mittel","mittel","5"
5,"Claims Analysis","mittel","mittel","1"
6,"ISO-9241-110","wenig","niedrig","3"
7,"ISO-9241-12","wenig","niedrig","3"
8,"Web Accessibility Guidelines","mittel","mittel","3"
9,"AttrakDiff","sehr wenig","sehr niedrig","5"
10,"ISOMetrics (kurz)","sehr wenig","sehr niedrig","4"
11,"ISOMetrics (lang)","wenig","niedrig","3"
12,"ISONorm 110-S/ISONorm 10","sehr wenig","sehr niedrig","4"
13,"SUMI","wenig","niedrig","2"
14,"QUIS","wenig","niedrig","2"
15,"WUI","wenig","niedrig","3"
16,"Contextual Inquiry","hoch","hoch","3"
17,"Focus Groups","hoch","hoch","3"
18,"Usability Test","hoch","hoch","5"
19,"Card Sorting","wenig","niedrig","3"
20,"Personas","mittel","mittel","3"
21,"Best-Practice-Analyse","mittel","mittel","5"
22,"Umfragen","sehr hoch","mittel","4"
